ID,Card Name,Attribute,Sub Type,Level,ATK,DEF,Card Text,Card Image,Synchro,Tuner,Xyz,Pendulum,Fusion,Ritual,Effect,Extra Deck,
1,7 Colored Fish,Water,Fish,4,1800,800,A rare rainbow fish that has never been caught by mortal man,https://ygoprodeck.com/pics/23771716.jpg,No,No,No,No,No,No,No,No,
2,Acrobat Monkey,Earth,Machine,3,1000,1800,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,https://ygoprodeck.com/pics/47372349.jpg,No,No,No,No,No,No,No,No,
3,Aitsu,Fire,Fairy,5,100,100,"He seems to be very unreliable, but he might have incredible potential.",https://ygoprodeck.com/pics/48202661.jpg,No,No,No,No,No,No,No,No,
4,Alexandrite Dragon,Light,Dragon,4,2000,100,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",https://ygoprodeck.com/pics/43096270.jpg,No,No,No,No,No,No,No,No,
5,Alien Shocktrooper,Earth,Reptile,4,1900,800,"The Aliens have used a mysterious biological substance to create a supreme race of soldiers. They do not have the natural powers of the other Aliens, but can make stunning physical attacks.",https://ygoprodeck.com/pics/97127906.jpg,No,No,No,No,No,No,No,No,
6,Alligator's Sword,Earth,Beast,4,1500,1200,"'ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!",https://ygoprodeck.com/pics/64428736.jpg,No,No,No,No,No,No,No,No,
7,Ally of Justice Clausolas,Dark,Machine,6,2300,1200,"A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solias. Its surprise attacks from above baffle invaders.",https://ygoprodeck.com/pics/89386122.jpg,No,No,No,No,No,No,No,No,
8,Alpha the Magnet Warrior,Earth,Rock,4,1400,1700,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",https://ygoprodeck.com/pics/99785935.jpg,No,No,No,No,No,No,No,No,
9,Amazon of the Seas,Water,Fish,4,1300,1400,A mermaid who serves as herald of the Ocean Lord. She protects the sacred domain of Atlantis.,https://ygoprodeck.com/pics/17968114.jpg,No,No,No,No,No,No,No,No,
10,Amphibious Bugroth,Water,Aqua,5,1850,1300,"Ground Attacker Bugroth + ""Sentinel of the Sea""",https://ygoprodeck.com/pics/40173854.jpg,No,No,No,No,Yes,No,No,Yes,
11,Ancient Brain,Dark,Fiend,3,1000,700,A fallen fairy that is powerful in the dark.,https://ygoprodeck.com/pics/42431843.jpg,No,No,No,No,No,No,No,No,
12,Ancient Elf,Light,Spellcaster,4,1450,1200,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,https://ygoprodeck.com/pics/93221206.jpg,No,No,No,No,No,No,No,No,
13,Ancient Lizard Warrior,Earth,Reptile,4,1400,1100,"Before the dawn of time, this lizard warrior reigned supreme.",https://ygoprodeck.com/pics/43230671.jpg,No,No,No,No,No,No,No,No,
14,Ancient Tool,Dark,Machine,5,1700,1400,A destructive machine discovered in the Ruins of the Ancients.,https://ygoprodeck.com/pics/49587396.jpg,No,No,No,No,No,No,No,No,
15,Ansatsu,Earth,Warrior,5,1700,1200,A silent and deadly warrior specializing in assassinations.,https://ygoprodeck.com/pics/48365709.jpg,No,No,No,No,No,No,No,No,
16,Anthrosaurus,Earth,Dinosaur,3,1000,850,"Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like yooz, if ya had a high I.Q.! Nyaah!)",https://ygoprodeck.com/pics/89904598.jpg,No,No,No,No,No,No,No,No,
17,Aqua Dragon,Water,Sea Serpent,6,2250,1900,"Fairy Dragon + ""Amazon of the Seas"" + ""Zone eater""",https://ygoprodeck.com/pics/86164529.jpg,No,No,No,No,Yes,No,No,Yes,
